iter	Passed	Remaining
470	686	771
471	687	769
472	688	767
473	689	765
474	691	763
475	692	761
476	693	760
477	694	758
478	695	756
479	696	754
480	697	752
481	698	750
482	699	748
483	700	746
484	701	744
485	702	742
486	703	741
487	704	739
488	705	737
489	706	735
490	708	734
491	709	732
492	710	730
493	711	728
494	712	727
495	713	725
496	714	723
497	715	721
498	716	719
499	718	718
500	719	716
501	720	714
502	721	712
503	722	711
504	723	709
505	724	707
506	725	705
507	727	704
508	728	702
509	729	700
510	730	698
511	731	697
512	732	695
513	733	693
514	734	692
515	736	690
516	737	688
517	738	686
518	739	685
519	740	683
520	741	681
521	742	679
522	743	678
523	744	676
524	745	674
525	746	673
526	748	671
527	749	669
528	750	668
529	751	666
530	752	664
531	753	662
532	754	661
533	755	659
534	756	657
535	757	656
536	758	654
537	760	652
538	761	650
539	762	649
540	763	647
541	764	645
542	765	644
543	766	642
544	767	640
545	768	639
546	769	637
547	770	635
548	771	634
549	773	632
550	774	630
551	775	629
552	776	627
553	777	625
554	778	624
555	779	622
556	780	620
557	781	619
558	782	617
559	784	616
560	785	614
561	786	612
562	787	611
563	788	609
564	789	607
565	790	606
566	791	604
567	793	603
568	794	601
569	795	600
570	796	598
571	797	597
572	799	595
573	800	593
574	801	592
575	802	590
576	803	589
577	804	587
578	806	586
579	807	584
580	809	583
581	810	581
582	811	580
583	812	578
584	813	577
585	814	575
586	815	574
587	816	572
588	818	570
589	819	569
590	820	567
591	821	566
592	822	564
593	823	562
594	824	561
595	825	559
596	826	557
597	827	556
598	828	554
599	829	553
600	830	551
601	831	549
602	832	548
603	834	546
604	835	545
605	836	543
606	837	541
607	838	540
608	839	538
609	840	537
610	841	535
611	842	533
612	843	532
613	844	530
614	845	529
615	846	527
616	847	525
617	848	524
618	849	522
619	850	521
620	851	519
621	852	518
622	853	516
623	854	514
624	855	513
625	856	511
626	857	509
627	858	508
628	859	506
629	860	505
630	861	503
631	862	502
632	863	500
633	864	498
634	865	497
635	866	495
636	867	494
637	868	492
638	869	490
639	870	489
640	871	487
641	872	486
642	872	484
643	873	483
644	874	481
645	875	480
646	876	478
647	877	476
648	878	475
649	879	473
650	880	472
651	881	470
652	882	468
653	883	467
654	884	465
655	885	464
656	886	462
657	887	461
658	888	459
659	889	458
660	890	456
661	891	455
662	892	453
663	893	452
664	894	450
665	895	448
666	896	447
667	897	445
668	898	444
669	899	442
670	900	441
671	901	439
672	902	438
673	902	436
674	903	435
675	904	433
676	905	432
677	906	430
678	907	429
679	908	427
680	909	426
681	910	424
682	911	423
683	912	421
684	913	420
685	914	418
686	915	416
687	916	415
688	917	413
689	918	412
690	919	410
691	920	409
692	920	407
693	921	406
694	922	405
695	923	403
696	924	401
697	925	400
698	926	398
699	927	397
700	928	396
701	929	394
702	930	393
703	931	391
704	932	390
705	932	388
706	933	387
707	934	385
708	935	384
709	936	382
710	937	381
711	938	379
712	939	378
713	940	376
714	941	375
715	942	373
716	943	372
717	944	370
718	945	369
719	946	367
720	947	366
721	948	365
722	949	363
723	950	362
724	951	360
725	952	359
726	953	357
727	954	356
728	955	355
729	956	353
730	957	352
731	958	350
732	959	349
733	960	348
734	961	346
735	962	345
736	963	343
737	964	342
738	965	341
739	966	339
740	967	338
741	968	336
742	969	335
743	970	333
744	971	332
745	972	331
746	973	329
747	974	328
748	975	326
749	976	325
750	977	324
751	978	322
752	979	321
753	980	319
754	981	318
755	982	317
756	983	315
757	984	314
758	985	312
759	986	311
760	987	310
761	988	308
762	989	307
763	990	305
764	991	304
765	992	303
766	993	301
767	994	300
768	995	299
769	996	297
770	997	296
771	998	294
772	999	293
773	1000	292
774	1001	290
775	1002	289
776	1003	288
777	1004	286
778	1005	285
779	1006	283
780	1007	282
781	1008	281
782	1009	279
783	1010	278
784	1011	277
785	1012	275
786	1013	274
787	1014	272
788	1015	271
789	1016	270
790	1017	268
791	1018	267
792	1019	266
793	1020	264
794	1021	263
795	1022	262
796	1023	260
797	1024	259
798	1025	258
799	1026	256
800	1027	255
801	1028	253
802	1029	252
803	1030	251
804	1031	249
805	1032	248
806	1034	247
807	1035	245
808	1036	244
809	1037	243
810	1039	242
811	1040	240
812	1041	239
813	1042	238
814	1044	237
815	1045	235
816	1046	234
817	1047	233
818	1048	231
819	1049	230
820	1050	229
821	1051	227
822	1052	226
823	1053	225
824	1054	223
825	1055	222
826	1057	221
827	1058	219
828	1059	218
829	1060	217
830	1061	215
831	1063	214
832	1064	213
833	1065	212
834	1066	210
835	1068	209
836	1069	208
837	1070	206
838	1071	205
839	1073	204
840	1074	203
841	1075	201
842	1076	200
843	1078	199
844	1079	197
845	1080	196
846	1081	195
847	1082	194
848	1083	192
849	1084	191
850	1085	190
851	1087	188
852	1088	187
853	1089	186
854	1090	185
855	1092	183
856	1093	182
857	1094	181
858	1095	179
859	1096	178
860	1098	177
861	1099	175
862	1100	174
863	1100	173
864	1101	171
865	1102	170
866	1103	169
867	1104	168
868	1105	166
869	1106	165
870	1107	164
871	1108	162
872	1109	161
873	1110	160
874	1111	158
875	1112	157
876	1113	156
877	1114	154
878	1115	153
879	1116	152
880	1117	150
881	1117	149
882	1118	148
883	1119	146
884	1120	145
885	1121	144
886	1122	143
887	1123	141
888	1124	140
889	1125	139
890	1126	137
891	1127	136
892	1128	135
893	1129	133
894	1130	132
895	1131	131
896	1132	129
897	1133	128
898	1135	127
899	1136	126
900	1137	124
901	1138	123
902	1139	122
903	1140	121
904	1141	119
905	1141	118
906	1142	117
907	1143	115
908	1144	114
909	1145	113
910	1146	112
911	1147	110
912	1148	109
913	1149	108
914	1150	106
915	1151	105
916	1152	104
917	1153	103
918	1154	101
919	1155	100
920	1156	99
921	1157	97
922	1158	96
923	1159	95
924	1160	94
925	1161	92
926	1162	91
927	1163	90
928	1164	88
929	1165	87
930	1165	86
931	1166	85
932	1167	83
933	1168	82
934	1169	81
935	1170	80
936	1171	78
937	1172	77
938	1173	76
939	1174	74
940	1175	73
941	1175	72
942	1176	71
943	1177	69
944	1178	68
945	1179	67
946	1180	66
947	1181	64
948	1182	63
949	1183	62
950	1184	61
951	1185	59
952	1186	58
953	1187	57
954	1188	55
955	1189	54
956	1190	53
957	1191	52
958	1192	50
959	1193	49
960	1193	48
961	1194	47
962	1195	45
963	1196	44
964	1197	43
965	1198	42
966	1199	40
967	1200	39
968	1201	38
969	1202	37
970	1203	35
971	1204	34
972	1205	33
973	1206	32
974	1206	30
975	1207	29
976	1208	28
977	1209	27
978	1210	25
979	1211	24
980	1212	23
981	1213	22
982	1214	21
983	1215	19
984	1216	18
985	1217	17
986	1218	16
987	1219	14
988	1220	13
989	1221	12
990	1222	11
991	1222	9
992	1223	8
993	1224	7
994	1225	6
995	1226	4
996	1227	3
997	1228	2
998	1229	1
999	1230	0
